2026-05-12 12:48:50 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1","enable_logo":false,"language":"","thread_pool_max_workers":-1,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":3000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/MEMORY.md","/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory.md","/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory"],"suffix_filters":[".md"],"recursive":false,"rebuild_index_on_start":false}},"metadata":{}}
2026-05-12 12:48:50 | INFO | application.py:167 | start | Thread pool is disabled (thread_pool_max_workers <= 0)
2026-05-12 12:48:50 | ERROR | application.py:186 | start | Failed to initialize AS LLM 'default': Missing credentials. Please pass an `api_key`, `workload_identity`, `admin_api_key`, or set the `OPENAI_API_KEY` or `OPENAI_ADMIN_KEY` environment variable.
2026-05-12 12:48:50 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at /home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-05-12 12:48:50 | INFO | chroma_file_store.py:134 | start | ChromaDB initialized with collection: chunks_copaw
2026-05-12 12:48:50 | INFO | chroma_file_store.py:135 | start | File metadata will be persisted to: /home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/copaw_file_metadata.json
2026-05-12 12:48:50 | INFO | base_file_watcher.py:89 | start | Started watching: ['/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/MEMORY.md', '/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory.md', '/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory']
2026-05-12 12:48:50 | INFO | application.py:277 | start | ReMe Application started
2026-05-12 12:48:50 | WARNING | base_file_watcher.py:180 | _watch_loop | Skipping non-existent paths: {'/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory.md'}
2026-05-12 12:48:50 | INFO | base_file_watcher.py:183 | _watch_loop | Starting watch on valid paths: ['/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/MEMORY.md', '/home/junsheng/.copaw/workspaces/CoPaw_QA_Agent_0.1beta1/memory']
2026-05-12 12:50:13 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:13 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000249s ==========
2026-05-12 12:50:13 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000078s ==========
2026-05-12 12:50:13 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:13 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000088s ==========
2026-05-12 12:50:13 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000033s ==========
2026-05-12 12:50:17 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:17 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000421s ==========
2026-05-12 12:50:17 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000166s ==========
2026-05-12 12:50:17 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:17 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000133s ==========
2026-05-12 12:50:17 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000087s ==========
2026-05-12 12:50:20 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:20 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000344s ==========
2026-05-12 12:50:20 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000156s ==========
2026-05-12 12:50:20 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:20 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000138s ==========
2026-05-12 12:50:20 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000088s ==========
2026-05-12 12:50:23 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:23 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000360s ==========
2026-05-12 12:50:23 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000136s ==========
2026-05-12 12:50:23 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:23 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000114s ==========
2026-05-12 12:50:23 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000082s ==========
2026-05-12 12:50:27 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:27 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000308s ==========
2026-05-12 12:50:27 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000134s ==========
2026-05-12 12:50:27 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:27 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000114s ==========
2026-05-12 12:50:27 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000094s ==========
2026-05-12 12:50:30 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:30 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000454s ==========
2026-05-12 12:50:30 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000203s ==========
2026-05-12 12:50:30 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:30 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000147s ==========
2026-05-12 12:50:30 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000115s ==========
2026-05-12 12:50:34 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:34 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000333s ==========
2026-05-12 12:50:34 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000254s ==========
2026-05-12 12:50:34 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:34 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000174s ==========
2026-05-12 12:50:34 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000163s ==========
2026-05-12 12:50:38 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:38 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000352s ==========
2026-05-12 12:50:38 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000190s ==========
2026-05-12 12:50:38 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:50:38 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000164s ==========
2026-05-12 12:50:38 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000129s ==========
2026-05-12 12:51:18 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:18 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000238s ==========
2026-05-12 12:51:18 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000195s ==========
2026-05-12 12:51:18 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:18 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000097s ==========
2026-05-12 12:51:18 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000111s ==========
2026-05-12 12:51:23 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:23 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000466s ==========
2026-05-12 12:51:23 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000301s ==========
2026-05-12 12:51:23 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:23 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000193s ==========
2026-05-12 12:51:23 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000321s ==========
2026-05-12 12:51:26 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:26 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000414s ==========
2026-05-12 12:51:26 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000346s ==========
2026-05-12 12:51:26 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:26 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000141s ==========
2026-05-12 12:51:26 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000171s ==========
2026-05-12 12:51:30 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:30 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000520s ==========
2026-05-12 12:51:30 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000411s ==========
2026-05-12 12:51:30 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:30 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000165s ==========
2026-05-12 12:51:30 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000248s ==========
2026-05-12 12:51:34 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
2026-05-12 12:51:34 | INFO | base_op.py:287 | ToolResultCompactor.call | ========== cost=0.000388s ==========
2026-05-12 12:51:34 | INFO | base_op.py:287 | ContextChecker.call | ========== cost=0.000324s ==========
2026-05-12 12:51:34 | INFO | tool_result_compactor.py:113 | execute | md_file_tool_ids: set()
